101010100 北京,北京
101010200 北京,海淀
101010300 北京,朝阳
101010400 北京,顺义
101010500 北京,怀柔
101010600 北京,通州
101010700 北京,昌平
101010800 北京,延庆
101010900 北京,丰台
101011000 北京,石景山
101011100 北京,大兴
101011200 北京,房山
101011300 北京,密云
101011400 北京,门头沟
101011500 北京,平谷
101020100 上海,上海
101020200 上海,闵行
101020300 上海,宝山
101020500 上海,嘉定
101020600 上海,浦东南汇
101020700 上海,金山
101020800 上海,青浦
101020900 上海,松江
101021000 上海,奉贤
101021100 上海,崇明
101021200 上海,徐家汇
101021300 上海,浦东
101030100 天津,天津
101030200 天津,武清
101030300 天津,宝坻
101030400 天津,东丽
101030500 天津,西青
101030600 天津,北辰
101030700 天津,宁河
101030800 天津,汉沽
101030900 天津,静海
101031000 天津,津南
101031100 天津,塘沽
101031200 天津,大港
101031400 天津,蓟县
101040100 重庆,重庆
101040200 重庆,永川
101040300 重庆,合川
101040400 重庆,南川
101040500 重庆,江津
101040600 重庆,万盛
101040700 重庆,渝北
101040800 重庆,北碚
101040900 重庆,巴南
101041000 重庆,长寿
101041100 重庆,黔江
101041300 重庆,万州
101041400 重庆,涪陵
101041500 重庆,开县
101041600 重庆,城口
101041700 重庆,云阳
101041800 重庆,巫溪
101041900 重庆,奉节
101042000 重庆,巫山
101042100 重庆,潼南
101042200 重庆,垫江
101042300 重庆,梁平
101042400 重庆,忠县
101042500 重庆,石柱
101042600 重庆,大足
101042700 重庆,荣昌
101042800 重庆,铜梁
101042900 重庆,璧山
101043000 重庆,丰都
101043100 重庆,武隆
101043200 重庆,彭水
101043300 重庆,綦江
101043400 重庆,酉阳
101043600 重庆,秀山
101050101 黑龙江,哈尔滨
101050102 黑龙江,双城
101050103 黑龙江,呼兰
101050104 黑龙江,阿城
101050105 黑龙江,宾县
101050106 黑龙江,依兰
101050107 黑龙江,巴彦
101050108 黑龙江,通河
101050109 黑龙江,方正
101050110 黑龙江,延寿
101050111 黑龙江,尚志
101050112 黑龙江,五常
101050113 黑龙江,木兰
101050201 黑龙江,齐齐哈尔
101050202 黑龙江,讷河
101050203 黑龙江,龙江
101050204 黑龙江,甘南
101050205 黑龙江,富裕
101050206 黑龙江,依安
101050207 黑龙江,拜泉
101050208 黑龙江,克山
101050209 黑龙江,克东
101050210 黑龙江,泰来
101050301 黑龙江,牡丹江
